epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,373.946,0.46518,0.45638,0.85097,0.84467,0.70411,0.76979,0.70706,0.4083,0.61718,0.83643,0.000431256,0.000431256,0.000431256
22,392.013,0.46076,0.45119,0.85248,0.8739,0.69317,0.7917,0.72718,0.39409,0.63097,0.83493,0.000417119,0.000417119,0.000417119
23,410.261,0.45799,0.44145,0.85059,0.84977,0.70669,0.77603,0.70869,0.41674,0.63147,0.83769,0.000402982,0.000402982,0.000402982
24,428.417,0.46108,0.44661,0.85045,0.87363,0.69032,0.75035,0.69041,0.40044,0.65323,0.8377,0.000388844,0.000388844,0.000388844
25,446.731,0.45277,0.44193,0.84763,0.8483,0.7247,0.78899,0.7253,0.39616,0.62728,0.83477,0.000374707,0.000374707,0.000374707
26,464.904,0.44389,0.42113,0.84741,0.85333,0.72701,0.7971,0.72747,0.39066,0.57483,0.83312,0.00036057,0.00036057,0.00036057
27,483.393,0.44398,0.42109,0.84459,0.83637,0.72173,0.77544,0.71141,0.3829,0.59534,0.83163,0.000346433,0.000346433,0.000346433
28,501.614,0.42979,0.40578,0.84068,0.86208,0.70295,0.77054,0.70806,0.38649,0.5931,0.83525,0.000332296,0.000332296,0.000332296
29,519.79,0.43095,0.40729,0.84302,0.84724,0.71652,0.77592,0.71652,0.38124,0.61306,0.8297,0.000318158,0.000318158,0.000318158
30,538.091,0.43748,0.39924,0.84618,0.84334,0.72055,0.78947,0.7286,0.38141,0.57875,0.83199,0.000304021,0.000304021,0.000304021
31,556.304,0.43166,0.39258,0.8453,0.88418,0.70573,0.80214,0.74033,0.37838,0.56273,0.83217,0.000289884,0.000289884,0.000289884
32,574.469,0.43251,0.38848,0.84014,0.83989,0.72538,0.78665,0.72899,0.36534,0.56856,0.82708,0.000275747,0.000275747,0.000275747
33,592.778,0.42657,0.38419,0.84103,0.87708,0.70985,0.79907,0.74036,0.36399,0.55735,0.82814,0.00026161,0.00026161,0.00026161
34,611.053,0.42164,0.37736,0.8422,0.84613,0.72123,0.79366,0.73668,0.3585,0.5859,0.82738,0.000247472,0.000247472,0.000247472
35,629.271,0.42063,0.37832,0.84079,0.88043,0.70323,0.79069,0.73571,0.36503,0.57498,0.83128,0.000233335,0.000233335,0.000233335
36,647.482,0.41461,0.37141,0.83876,0.84656,0.72868,0.8065,0.74978,0.35933,0.54957,0.82689,0.000219198,0.000219198,0.000219198
37,665.81,0.41242,0.36485,0.83815,0.86157,0.72225,0.7962,0.74069,0.35844,0.55023,0.82699,0.000205061,0.000205061,0.000205061
38,684.189,0.40283,0.35918,0.8381,0.85618,0.72543,0.79599,0.73914,0.36152,0.54698,0.83132,0.000190924,0.000190924,0.000190924
39,702.461,0.4122,0.36382,0.84086,0.8415,0.7398,0.79805,0.74321,0.34983,0.56285,0.82545,0.000176786,0.000176786,0.000176786
40,720.62,0.40486,0.35951,0.83917,0.87482,0.70912,0.78885,0.73829,0.34955,0.5657,0.82485,0.000162649,0.000162649,0.000162649
41,757.057,0.32179,0.30817,0.79111,0.82786,0.73744,0.78917,0.73413,0.36393,0.58339,0.82689,0.000148512,0.000148512,0.000148512
42,774.707,0.31335,0.29987,0.78785,0.85863,0.72189,0.78726,0.73389,0.35436,0.55274,0.82852,0.000134375,0.000134375,0.000134375
43,792.718,0.30878,0.29258,0.78785,0.87009,0.71836,0.78669,0.73411,0.35609,0.56312,0.82957,0.000120238,0.000120238,0.000120238
44,810.661,0.3089,0.28815,0.78785,0.8574,0.71503,0.78743,0.73716,0.34596,0.5615,0.82597,0.0001061,0.0001061,0.0001061
45,828.561,0.30291,0.28181,0.78725,0.85567,0.71725,0.78719,0.73547,0.35187,0.56283,0.82849,9.19632e-05,9.19632e-05,9.19632e-05
46,846.685,0.29859,0.2763,0.78721,0.86216,0.7158,0.78962,0.73888,0.34352,0.54683,0.829,7.7826e-05,7.7826e-05,7.7826e-05
47,864.626,0.29604,0.27359,0.78785,0.85393,0.72341,0.79451,0.74295,0.3461,0.53405,0.82904,6.36888e-05,6.36888e-05,6.36888e-05
48,882.591,0.29361,0.26968,0.78771,0.86406,0.7146,0.79211,0.74169,0.34061,0.54975,0.8281,4.95516e-05,4.95516e-05,4.95516e-05
49,900.443,0.2881,0.2636,0.78497,0.84593,0.72911,0.79431,0.74526,0.3386,0.54691,0.82748,3.54144e-05,3.54144e-05,3.54144e-05
50,918.479,0.28404,0.26246,0.78297,0.86435,0.7165,0.79523,0.74634,0.33718,0.53877,0.82658,2.12772e-05,2.12772e-05,2.12772e-05
